event_num,timestamp
1,00:00:02
2,02:00:02
2,02:00:23
2,02:01:23
2,02:01:24
2,02:01:45
2,02:03:03
2,02:03:08
3,04:00:02
4,06:00:02
4,06:00:05
4,06:00:35
4,06:00:35
4,06:00:54
4,06:02:11
4,06:02:28
5,08:00:02
6,10:00:02
6,10:00:14
6,10:01:14
6,10:03:15
7,12:00:02
8,14:00:04
8,14:00:23
8,14:01:23
8,14:04:19
8,14:04:42
9,16:00:02
10,18:00:02
10,18:00:04
10,18:00:34
10,18:00:34
10,18:01:15
10,18:01:39
10,18:01:39
10,18:01:47
10,18:01:47
10,18:02:01
11,20:00:02
12,22:00:02
12,22:00:02
12,22:00:13
12,22:00:13
12,22:01:13
12,22:01:13
12,22:02:54
12,22:02:54
12,22:03:00
12,22:03:00
