time_range, announc_as_counter, announc_as_counter_ip, num_path_dict_before, num_as_pairs, source_as_counter, prev_peer_as, prev_announc_as, path_presence
23:57:00-23:57:04,0,0,0,0,0,0,0,1
23:57:05-23:57:09,0,0,0,0,0,0,0,1
23:57:10-23:57:14,0,0,0,0,0,0,0,1
23:57:15-23:57:19,0,0,0,0,27,0,0,1
23:57:20-23:57:24,0,0,0,0,16,0,0,1
23:57:25-23:57:29,0,0,0,0,0,0,0,1
23:57:30-23:57:34,0,0,0,0,0,0,0,1
23:57:35-23:57:39,0,0,0,0,0,0,0,1
23:57:40-23:57:44,0,0,0,0,0,0,0,1
23:57:45-23:57:49,0,0,3,0,115,0,0,1
23:57:50-23:57:54,0,0,0,0,16,0,0,1
23:57:55-23:57:59,0,0,0,0,0,0,0,1
23:58:00-23:58:04,0,0,0,0,0,0,0,1
23:58:05-23:58:09,0,0,0,0,0,0,0,1
23:58:10-23:58:14,0,0,0,0,0,0,0,1
23:58:15-23:58:19,0,0,2,0,108,0,0,1
23:58:20-23:58:24,0,0,2,0,34,0,0,1
23:58:25-23:58:29,0,0,0,0,0,0,0,1
23:58:30-23:58:34,0,0,0,0,0,0,0,1
23:58:35-23:58:39,0,0,0,0,0,0,0,1
23:58:40-23:58:44,0,0,0,0,0,0,0,1
23:58:45-23:58:49,0,0,0,0,35,0,0,1
23:58:50-23:58:54,0,0,0,0,26,0,0,1
23:58:55-23:58:59,0,0,0,0,0,0,0,1
23:59:00-23:59:04,0,0,0,0,0,0,0,1
23:59:05-23:59:09,0,0,0,0,0,0,0,1
23:59:10-23:59:14,0,0,0,0,0,0,0,1
23:59:15-23:59:19,0,0,2,0,75,0,0,1
23:59:20-23:59:24,0,0,0,0,32,0,0,1
23:59:25-23:59:29,0,0,0,0,0,0,0,1
23:59:30-23:59:34,0,0,0,0,0,0,0,1
23:59:35-23:59:39,0,0,0,0,0,0,0,1
23:59:40-23:59:44,0,0,0,0,0,0,0,1
23:59:45-23:59:49,0,0,0,0,61,0,0,1
23:59:50-23:59:54,0,0,0,0,22,0,0,1
23:59:55-23:59:59,0,0,0,0,0,0,0,1
23:57:00-23:57:04,2,39,0,0,61,6453,35266,1
23:57:05-23:57:09,0,0,0,0,0,6453,35266,1
23:57:10-23:57:14,0,0,0,0,0,6453,35266,1
23:57:15-23:57:19,0,0,0,0,0,6453,35266,1
23:57:20-23:57:24,0,0,0,0,0,6453,35266,1
23:57:25-23:57:29,0,0,0,0,0,6453,35266,1
23:57:30-23:57:34,2,52,0,0,69,6453,35266,1
23:57:35-23:57:39,0,0,0,0,0,6453,35266,1
23:57:40-23:57:44,0,0,0,0,0,6453,35266,1
23:57:45-23:57:49,0,0,0,0,0,6453,35266,1
23:57:50-23:57:54,0,0,0,0,0,6453,35266,1
23:57:55-23:57:59,0,0,0,0,0,6453,35266,1
23:58:00-23:58:04,2,76,0,0,113,6453,35266,1
23:58:05-23:58:09,0,0,0,0,0,6453,35266,1
23:58:10-23:58:14,0,0,0,0,0,6453,35266,1
23:58:15-23:58:19,0,0,0,0,0,6453,35266,1
23:58:20-23:58:24,0,0,0,0,0,6453,35266,1
23:58:25-23:58:29,0,0,0,0,0,6453,35266,1
23:58:30-23:58:34,0,0,0,0,0,6453,35266,1
23:58:35-23:58:39,2,62,0,0,78,6453,35266,1
23:58:40-23:58:44,0,0,0,0,0,6453,35266,1
23:58:45-23:58:49,0,0,0,0,0,6453,35266,1
23:58:50-23:58:54,0,0,0,0,0,6453,35266,1
23:58:55-23:58:59,0,0,0,0,0,6453,35266,1
23:59:00-23:59:04,0,0,0,0,0,6453,35266,1
23:59:05-23:59:09,2,74,0,0,107,6453,35266,1
23:59:10-23:59:14,0,0,0,0,0,6453,35266,1
23:59:15-23:59:19,0,0,0,0,0,6453,35266,1
23:59:20-23:59:24,0,0,0,0,0,6453,35266,1
23:59:25-23:59:29,0,0,0,0,0,6453,35266,1
23:59:30-23:59:34,0,0,0,0,0,6453,35266,1
23:59:35-23:59:39,2,51,0,0,92,6453,35266,1
23:59:40-23:59:44,0,0,0,0,0,6453,35266,1
23:59:45-23:59:49,0,0,0,0,0,6453,35266,1
23:59:50-23:59:54,0,0,0,0,0,6453,35266,1
23:59:55-23:59:59,0,0,0,0,0,6453,35266,1
23:57:00-23:57:04,0,0,0,0,46,12779,12779,0
23:57:05-23:57:09,0,0,0,0,40,12779,12779,0
23:57:10-23:57:14,0,0,0,0,50,12779,12779,0
23:57:15-23:57:19,0,0,0,0,33,12779,12779,0
23:57:20-23:57:24,0,0,0,0,46,12779,12779,0
23:57:25-23:57:29,0,0,0,0,38,12779,12779,0
23:57:30-23:57:34,0,0,0,0,42,12779,12779,0
23:57:35-23:57:39,0,0,0,0,64,12779,12779,0
23:57:40-23:57:44,0,0,0,0,38,12779,12779,0
23:57:45-23:57:49,0,0,0,0,22,12779,12779,0
23:57:50-23:57:54,0,0,0,0,36,12779,12779,0
23:57:55-23:57:59,0,0,0,0,58,12779,12779,0
23:58:00-23:58:04,0,0,0,0,44,12779,12779,0
23:58:05-23:58:09,0,0,0,0,50,12779,12779,0
23:58:10-23:58:14,0,0,0,0,42,12779,12779,0
23:58:15-23:58:19,0,0,0,0,33,12779,12779,0
23:58:20-23:58:24,0,0,0,0,54,12779,12779,0
23:58:25-23:58:29,0,0,0,0,32,12779,12779,0
23:58:30-23:58:34,0,0,0,0,42,12779,12779,0
23:58:35-23:58:39,0,0,0,0,48,12779,12779,0
23:58:40-23:58:44,0,0,0,0,64,12779,12779,0
23:58:45-23:58:49,0,0,0,0,34,12779,12779,0
23:58:50-23:58:54,0,0,0,0,52,12779,12779,0
23:58:55-23:58:59,0,0,0,0,46,12779,12779,0
23:59:00-23:59:04,0,0,0,0,222,12779,12779,0
23:59:05-23:59:09,0,0,0,0,24,12779,12779,0
23:59:10-23:59:14,0,0,0,0,34,12779,12779,0
23:59:15-23:59:19,0,0,0,0,91,12779,12779,0
23:59:20-23:59:24,0,0,0,0,30,12779,12779,0
23:59:25-23:59:29,0,0,0,0,52,12779,12779,0
23:59:30-23:59:34,0,0,0,0,38,12779,12779,0
23:59:35-23:59:39,0,0,0,0,28,12779,12779,0
23:59:40-23:59:44,0,0,0,0,56,12779,12779,0
23:59:45-23:59:49,0,0,0,0,44,12779,12779,0
23:59:50-23:59:54,0,0,0,0,32,12779,12779,0
23:59:55-23:59:59,0,0,0,0,36,12779,12779,0
